Inventory Rattles 1000
Inventory Diapers 1000
Inventory Bottles 1000
Purchase customer0 Bottles 4
Purchase customer1 Bottles 2
Purchase customer2 Rattles 1
Purchase customer3 Diapers 1
Purchase customer4 Bottles 4
Purchase customer5 Rattles 4
Purchase customer6 Rattles 2
Purchase customer7 Rattles 2
Purchase customer8 Rattles 3
Purchase customer9 Bottles 1
Purchase customer10 Diapers 4
Purchase customer11 Bottles 1
Purchase customer12 Diapers 4
Purchase customer13 Rattles 1
Purchase customer14 Rattles 2
Purchase customer15 Rattles 4
Purchase customer16 Diapers 1
Purchase customer17 Rattles 1
Purchase customer18 Bottles 3
Purchase customer19 Diapers 1
Purchase customer20 Rattles 2
Purchase customer21 Rattles 1
Purchase customer22 Diapers 4
Purchase customer23 Rattles 2
Purchase customer24 Diapers 4
Purchase customer25 Bottles 1
Purchase customer26 Rattles 2
Purchase customer27 Rattles 3
Purchase customer28 Rattles 3
Purchase customer29 Rattles 3
Purchase customer30 Rattles 1
Purchase customer31 Bottles 1
Purchase customer32 Diapers 1
Purchase customer33 Diapers 2
Purchase customer34 Diapers 2
Purchase customer35 Bottles 2
Purchase customer36 Rattles 2
Purchase customer37 Rattles 4
Purchase customer38 Bottles 1
Purchase customer39 Rattles 2
Purchase customer40 Bottles 1
Purchase customer41 Rattles 2
Purchase customer42 Diapers 3
Purchase customer43 Bottles 3
Purchase customer44 Diapers 2
Purchase customer45 Bottles 3
Purchase customer46 Diapers 3
Purchase customer47 Rattles 2
Purchase customer48 Diapers 1
Purchase customer49 Bottles 4
Purchase customer50 Rattles 3
Purchase customer51 Bottles 1
Purchase customer52 Diapers 2
Purchase customer53 Bottles 1
Purchase customer54 Diapers 4
Purchase customer55 Rattles 3
Purchase customer56 Diapers 1
Purchase customer57 Rattles 2
Purchase customer58 Rattles 4
Purchase customer59 Rattles 4
Purchase customer60 Rattles 4
Purchase customer61 Rattles 4
Purchase customer62 Rattles 3
Purchase customer63 Bottles 2
Purchase customer64 Diapers 3
Purchase customer65 Diapers 4
Purchase customer66 Diapers 3
Purchase customer67 Bottles 2
Purchase customer68 Diapers 3
Purchase customer69 Rattles 2
Purchase customer70 Rattles 2
Purchase customer71 Diapers 3
Purchase customer72 Diapers 2
Purchase customer73 Rattles 1
Purchase customer74 Bottles 3
Purchase customer75 Rattles 3
Purchase customer76 Diapers 4
Purchase customer77 Diapers 4
Purchase customer78 Bottles 1
Purchase customer79 Bottles 2
Purchase customer80 Bottles 1
Purchase customer81 Diapers 4
Purchase customer82 Diapers 3
Purchase customer83 Rattles 3
Purchase customer84 Rattles 1
Purchase customer85 Rattles 2
Purchase customer86 Rattles 4
Purchase customer87 Bottles 4
Purchase customer88 Rattles 3
Purchase customer89 Bottles 1
Purchase customer90 Diapers 4
Purchase customer91 Diapers 3
Purchase customer92 Diapers 3
Purchase customer93 Diapers 1
Purchase customer94 Diapers 3
Purchase customer95 Bottles 4
Purchase customer96 Bottles 3
Purchase customer97 Bottles 3
Purchase customer98 Diapers 1
Purchase customer99 Bottles 3
Purchase customer100 Bottles 3
Purchase customer101 Bottles 4
Purchase customer102 Diapers 4
Purchase customer103 Rattles 2
Purchase customer104 Diapers 1
Purchase customer105 Bottles 2
Purchase customer106 Diapers 1
Purchase customer107 Bottles 1
Purchase customer108 Rattles 4
Purchase customer109 Diapers 2
Purchase customer110 Bottles 4
Purchase customer111 Diapers 2
Purchase customer112 Bottles 4
Purchase customer113 Rattles 4
